motusTagID,spp,age,tagDeployID,tagDeployStart,tagDepLat,tagDepLon,min_depart,max_depart,departure_notes,delbay,delbay_stay,delbay_notes
33184,Red Knot,SY,21578,2019-03-13T16:59:00Z,27.636,-82.7399,2019-05-21,2019-05-21,NA,stopped,22,Present in Delbay most of June 2019; unclear if travelled to Arctic
23604,Red Knot,ASY,11030,2017-04-30T04:00:00Z,32.575,-80.1487,2017-04-30,2017-05-03,NA,stopped,17,NA
23605,Red Knot,ASY,11031,2017-04-29T04:00:00Z,32.575,-80.1487,2017-05-12,2017-05-12,NA,likely,,"Not detected within Delbay proper, but at Delbay mouth"
23593,Red Knot,ASY,11019,2017-04-29T04:00:00Z,32.575,-80.1487,2017-05-06,2017-05-06,NA,stopped,14,Did not depart for Arctic from Delbay; traveled via New England coast to St Lawrence River (Quebec City) to Arctic
33889,Red Knot,ASY,21961,2019-05-06T17:30:00Z,32.5503,-80.1954,2019-05-10,2019-05-12,NA,stopped,11,NA
33891,Red Knot,ASY,21963,2019-05-06T17:30:00Z,32.5503,-80.1954,2019-05-06,2019-05-23,NA,stopped,8,NA
33899,Red Knot,ASY,21971,2019-05-06T17:30:00Z,32.5503,-80.1954,2019-05-06,2019-05-21,NA,stopped,2,Did not depart for Arctic from Delbay; traveled via New England coast before flight to Arctic
23592,Red Knot,ASY,11018,2017-04-29T04:00:00Z,32.575,-80.1487,2017-04-29,2017-05-09,NA,stopped,2,Sandy Hook area stopover (13-23 May)
33246,Red Knot,ASY,21640,2019-05-06T17:30:00Z,32.5503,-80.1954,2019-05-06,2019-05-23,NA,stopped,4,NA
33250,Red Knot,ASY,21644,2019-05-06T17:30:00Z,32.5503,-80.1954,2019-05-06,2019-05-22,NA,stopped,2,NA
23586,Red Knot,ASY,11012,2017-04-29T04:00:00Z,32.575,-80.1487,NA,NA,No northbound detections beyond SC,no_detections,NA,NA
23588,Red Knot,ASY,11014,2017-04-29T04:00:00Z,32.575,-80.1487,2017-05-17,2017-05-17,NA,skipped,NA,NA
