keep,B_10_MIN_BLOCK,B_AGE_CODE,B_REGION,B_BAND_SIZE_CODE,B_BAND_STATUS_CODE,B_BAND_TYPE_CODE,B_BIRD_STATUS,B_COMMENTS,B_COORD_PRECISION,B_COUNTRY_CODE,B_DIRECTION_CODE,B_EXTRA_INFO_CODE,B_FLYWAY_CODE,B_HOW_AGED_CODE,B_HOW_CAPTURED,B_HOW_SEXED_CODE,B_LAT_10_MIN_BLK,B_LAT_DECIMAL_DEGREES,B_LOCATION_DESCRIPTION,B_LOCATION_ID,B_LON_10_MIN_BLK,B_LON_DECIMAL_DEGREES,B_MARKER_LONG_DESC,B_PERMIT_NUM,B_SEX_CODE,B_SPECIES_ID,B_SPECIES_NAME,B_STATE_CODE,BAND_NUM,BANDING_DATE,BANDING_DAY,BANDING_MONTH,BANDING_YEAR,BEARING,DISTANCE,E_10_MIN_BLOCK,E_REGION,E_CAPTURE_TIME,E_CERTIFICATE_FLAG,E_CERTIFICATE_LANGUAGE,E_COMMENTS,E_COORD_PRECISION,E_COUNTRY_CODE,E_COUNTY_CODE,E_CREATE_DATE,E_CREATE_MONTH,E_CREATE_YEAR,E_DIRECTION_CODE,E_ENC_COUNTY_ORIGINAL,E_FLYWAY_CODE,E_HOW_CAPTURED,E_HOW_OBTAINED_CODE,E_LAT_10_MIN_BLK,E_LAT_DECIMAL_DEGREES,E_LOCATION_DESCRIPTION,E_LOCATION_ID,E_LON_10_MIN_BLK,E_LON_DECIMAL_DEGREES,E_MARKER_LONG_DESC,E_PLACE_NAME,E_PRESENT_CONDITION_CODE,E_REPORT_LOCATION_CHOICE,E_SPECIES_NAME,E_STATE_CODE,E_WHO_OBTAINED_CODE,E_WHY_REPORTED_CODE,ENC_PERMIT,ENCOUNTER_DATE,ENCOUNTER_DAY,ENCOUNTER_MONTH,ENCOUNTER_YEAR,HSS,MIN_AGE_AT_ENC,ORIGINAL_BAND,OTHER_BANDS,SAME_10_MIN_BLOCK
,3850751,6,21,2,0,18,3,,10,US,0,1,1,,,,385,38.91667,"SLAUGHTER BEACH, Delaware, United States",32902,751,-75.25,,23332,0,2341,Rufa Red Knot,10,93241356,5/14/2004,14,5,2004,SSW,741.3,2910810,25,,E,E,Enc created from Marker ID#: 92233;  finder corrected colors; no photos available;;,0,US,127,4/20/2017,4,2017,0,127,1,,29,291,29.30555,,,810,-81.04528,RIGHT LEG BAND #1: SILVER; LEFT LEG FLAG: ALT BLACK ON LIGHT GREEN; ,Ormond Beach,13,C3,Red Knot,12,21,13,,2/7/2017,7,2,2017,13,14.67,93241356,,N
,3900745,6,59,2,0,1,3,,10,US,0,1,1,,,,390,39.08333,"GOSHEN, Cape May County New Jersey, United States",58810,745,-74.91667,,22803,0,2341,Rufa Red Knot,34,115279524,5/13/2002,13,5,2002,SSW,773.9,2900805,25,,E,E,"Enc created from Marker ID#: 89989; ;;; close to longevity record but information seems ok, bird has been observed many time in the area and has a aux marker -- acm",0,US,127,3/6/2017,3,2017,0,127,1,,29,290,29.01028,,,805,-80.86862,LEFT LEG BAND #1: T21 BLACK ON LIGHT GREEN; ,Edgewater,13,M,Red Knot,12,21,13,,1/1/2017,1,1,2017,15,16.58,115279524,,N
,3900744,6,59,2,0,50,3,,10,US,0,25,1,,,,390,39.08333,"STONE HARBOR, New Jersey, United States",30324,744,-74.75,,22803,0,2341,Rufa Red Knot,34,117276898,5/18/2006,18,5,2006,SW,541,3230800,80,,E,E,Enc created from Marker ID#: 283409; marker confirmed by photo--MR;,0,US,19,3/20/2020,3,2020,0,19,1,,29,323,32.58051,,,800,-80.14796,LEFT LEG BAND #1: LIGHT GREEN; LEFT LEG FLAG: MLC WHITE ON GREEN; ,Seabrook Island,7,M,RED KNOT,45,21,13,,3/17/2020,17,3,2020,14,15.75,117276898,,N
,3900745,6,59,2,0,50,3,,10,US,0,19,1,,,,390,39.08333,"GOSHEN, Cape May County New Jersey, United States",58810,745,-74.91667,,22803,0,2341,Rufa Red Knot,34,117282577,5/14/2006,14,5,2006,SSW,908.9,2730824,25,,E,E,Enc created from Marker ID#: 242153;  matching band number per bander aux marker file;;;;;,0,US,103,4/8/2019,4,2019,0,103,1,,29,273,27.64099,Fort Desoto park,,824,-82.74111,RIGHT LEG BAND #1: LIGHT GREEN; LEFT LEG FLAG: UTK MISCELLANEOUS ON LIGHT GREEN; ,Fort De Soto,7,WM,Red Knot,12,21,13,,3/2/2019,2,3,2019,13,14.75,117282577,,N
,3720754,6,88,2,0,50,3,,10,US,0,19,1,,,,372,37.41667,"Hog Island, Northampton County Virginia, United States",44876,754,-75.75,,22803,0,2341,Rufa Red Knot,51,117282208,5/20/2006,20,5,2006,SSW,798.6,2720824,25,,E,E,Enc created from Marker ID#: 209171; ;;;,0,US,81,2/23/2018,2,2018,0,81,1,,29,272,27.43167,,,824,-82.68548,LEFT LEG BAND #1: YAE BLACK ON LIGHT GREEN; ,Whitney Beach,13,C3,Red Knot,12,21,13,,2/8/2018,8,2,2018,12,13.67,117282208,,N
,2730824,6,25,2,0,50,3,,10,US,0,1,1,,,,273,27.58333,"North end, ocean side spit, Anna Maria Island, Florida, Florida, United States",47569,824,-82.75,"COLOR LEG BAND, LEFT LEG: BLUE; LEG FLAG, RIGHT LEG: BLACK ON LIME; FEDERAL METAL BAND, RIGHT LEG;",22803,0,2341,Rufa Red Knot,12,117282564,1/3/2006,3,1,2006,NNE,949.9,3920742,59,,E,E,"Enc created from Marker ID#: 222203;  likely lime green flag; bypassed age but finder could not find photo, could have had wrong info for flag but with correct info for other band and side of flag allowing this in with comments --jsm;",0,US,1,2/12/2019,2,2019,0,1,1,,29,392,39.43539,Brigantine Natural Area,,742,-74.33405,LEFT LEG BAND #2: LIGHT BLUE; RIGHT LEG FLAG: UPK WHITE ON GREEN; ,Brigantine,13,W,Rufa Red Knot,34,21,13,,8/18/2018,18,8,2018,13,14.17,117282564,,N
,3900745,6,59,2,0,53,3,,1,US,0,25,1,,,,390,39.10833,"Cooks Beach- 4mi NW of Cape May Courthouse, Cape May County New Jersey, United States",63177,745,-74.89167,MISC.;,22803,0,2341,Rufa Red Knot,34,128201083,5/16/2008,16,5,2008,W,27.3,3900752,21,,E,E,Enc created from Marker ID#: 192137;  marker confirmed by photo;;,0,US,1,7/5/2017,7,2017,0,1,1,,29,390,39.0581,"South Bowers, DE",,752,-75.39648,LEFT LEG FLAG: NY9 BLACK ON LIGHT GREEN; ,South Bowers,13,AM,Red Knot,10,21,13,,5/21/2017,21,5,2017,9,10.92,128201083,,N
,3900744,1,59,2,0,53,3,,0,US,0,69,1,,,,390,39.07694,"Avalon, Cape May County New Jersey, United States",76479,744,-74.73389,LEG FLAG: E8N BLACK ON LIGHT GREEN;,22803,0,2341,Rufa Red Knot,34,128202325,11/21/2008,21,11,2008,SSW,364,3420773,63,,E,E,Enc created from Marker ID#: 234521;;;,0,US,141,3/7/2019,3,2019,0,141,1,,29,342,34.35033,On ocean beach near sw end of Topsail Island,,773,-77.64805,LEFT LEG FLAG: E8N MISCELLANEOUS ON LIGHT GREEN; ,Topsail Beach,13,DM,Red Knot,37,21,13,,12/22/2018,22,12,2018,11,11.5,128202325,,N
,3850751,6,21,2,0,50,3,Applied ISC 23332_201409111302B; M,1,US,0,25,1,1,,,385,38.94167,"Slaughter Beach(Beaches in Mispillion Harbor, 4 km N of Slaughter Beach), Kent County Delaware, United States (Bandit ID: MISPILL)",293053,751,-75.30833,LEG FLAG: M3L BLACK ON GREEN;,23332,0,2341,Rufa Red Knot,10,117272199,5/25/2008,25,5,2008,SSW,971.6,2550814,25,,E,E,Enc created from Marker ID#: 254265;;;,0,US,21,8/22/2019,8,2019,0,21,1,,29,255,25.95175,tigertail beach,,814,-81.74908,LEFT LEG FLAG: M3L BLACK ON LIGHT GREEN; ,Marco,7,WM,Red Knot,12,21,13,,5/18/2019,18,5,2019,11,12.92,117272199,,N
,3900744,1,59,2,0,53,3,,0,US,0,69,1,,,,390,39.07694,"Avalon, Cape May County New Jersey, United States",76479,744,-74.73389,LEG FLAG: C9K BLACK ON LIGHT GREEN;,22803,0,2341,Rufa Red Knot,34,128202550,11/21/2008,21,11,2008,SSW,332.6,3430770,63,,E,E,Enc created from Marker ID#: 213209; ;;;;,0,US,31,3/28/2018,3,2018,0,31,1,,29,343,34.64518,Western end of town near Bogue Inlet,,770,-77.09429,LEFT LEG FLAG: C9K BLACK ON LIGHT GREEN; ,Point Emerald Villas,13,DM,Red Knot,37,21,13,,3/25/2018,25,3,2018,10,10.75,128202550,,N
