keep,B_10_MIN_BLOCK,B_AGE_CODE,B_REGION,B_BAND_SIZE_CODE,B_BAND_STATUS_CODE,B_BAND_TYPE_CODE,B_BIRD_STATUS,B_COMMENTS,B_COORD_PRECISION,B_COUNTRY_CODE,B_DIRECTION_CODE,B_EXTRA_INFO_CODE,B_FLYWAY_CODE,B_HOW_AGED_CODE,B_HOW_CAPTURED,B_HOW_SEXED_CODE,B_LAT_10_MIN_BLK,B_LAT_DECIMAL_DEGREES,B_LOCATION_DESCRIPTION,B_LOCATION_ID,B_LON_10_MIN_BLK,B_LON_DECIMAL_DEGREES,B_MARKER_LONG_DESC,B_PERMIT_NUM,B_SEX_CODE,B_SPECIES_ID,B_SPECIES_NAME,B_STATE_CODE,BAND_NUM,BANDING_DATE,BANDING_DAY,BANDING_MONTH,BANDING_YEAR,BEARING,DISTANCE,E_10_MIN_BLOCK,E_REGION,E_CAPTURE_TIME,E_COMMENTS,E_COORD_PRECISION,E_COUNTRY_CODE,E_COUNTY_CODE,E_CREATE_DATE,E_CREATE_MONTH,E_CREATE_YEAR,E_DIRECTION_CODE,E_ERROR_CLEARED_DATE,E_FLYWAY_CODE,E_HOW_CAPTURED,E_HOW_OBTAINED_CODE,E_LAT_10_MIN_BLK,E_LAT_DECIMAL_DEGREES,E_LOCATION_DESCRIPTION,E_LOCATION_ID,E_LON_10_MIN_BLK,E_LON_DECIMAL_DEGREES,E_MARKER_LONG_DESC,E_PLACE_NAME,E_PRESENT_CONDITION_CODE,E_SPECIES_ID,E_SPECIES_NAME,E_STATE_CODE,ENC_PERMIT,ENCOUNTER_DATE,ENCOUNTER_DAY,ENCOUNTER_MONTH,ENCOUNTER_YEAR,ENC_ERROR,HSS,MIN_AGE_AT_ENC,ORIGINAL_BAND,OTHER_BANDS,REPORTING_METHOD,SAME_10_MIN_BLOCK
,3900745,6,59,2,0,82,3,,10,US,0,69,1,,,,390,39.08333,"4.4 mi NW from Cape May Court House(Reeds Beach - South end), Cape May County New Jersey, United States (Bandit ID: REEDSSOU)",307533,745,-74.91667,"LEG FLAG, LEFT LEG ABOVE THE JOINT: 53+ BLACK ON LIGHT GREEN; FEDERAL METAL BAND, RIGHT LEG BELOW THE JOINT;",22803,0,2341,Rufa Red Knot,34,133268948,5/27/2017,27,5,2017,NNE,938.6,5010635,76,0:00:00,,1,CA,0,1/15/2018,1,2018,0,,6,,66,501,50.225,"Grande Ile, Archipel de Mingan, Cote-Nord",282028,635,-63.89167,at capture: LEG FLAG: 53+ BLACK ON LIGHT GREEN;,Mingan,7,2340,Red Knot,10,10700,8/25/2017,25,8,2017,Record with remarks; Species Mismatch; Unusual Migration; Bird Status VS Provisions; ,1,2.17,133268948,,14,N
,5010635,1,76,2,0,51,3,,1,CA,0,19,6,,,,501,50.225,"Mingan(Grande Ile, Archipel de Mingan, Cote-Nord), Québec, Canada (Bandit ID: GRANDE)",282028,635,-63.89167,LEG FLAG: ECH BLACK ON WHITE;,10700,0,2341,Rufa Red Knot,10,80255791,8/19/2015,19,8,2015,,0,5010635,76,0:00:00,,1,CA,0,1/15/2018,1,2018,0,,6,,66,501,50.225,"Grande Ile, Archipel de Mingan, Cote-Nord",282028,635,-63.89167,at capture: LEG FLAG: ECH BLACK ON WHITE;,Mingan,7,2340,Red Knot,10,10700,8/25/2017,25,8,2017,Record with remarks; Species Mismatch; Bird Status VS Provisions; ,3,3.17,80255791,,14,Y
,5010634,1,76,2,0,50,3,,1,CA,0,19,6,,,,501,50.225,"Mingan(Ile de Quarry, Archipel de Minagn, Cote-Nord), Québec, Canada (Bandit ID: QUARRY)",282027,634,-63.825,MISC.: CUP BLACK ON WHITE;,10700,0,2341,Rufa Red Knot,10,117278891,8/15/2015,15,8,2015,W,2.9,5010635,76,0:00:00,,1,CA,0,1/15/2018,1,2018,0,,6,,66,501,50.225,"Grande Ile, Archipel de Mingan, Cote-Nord",282028,635,-63.89167,at capture: LEG FLAG: CUP BLACK ON WHITE;,Mingan,7,2340,Red Knot,10,10700,8/25/2017,25,8,2017,Record with remarks; Species Mismatch; Bird Status VS Provisions; ,3,3.17,117278891,,14,N
,3900745,6,59,2,0,82,3,,10,US,0,69,1,,,,390,39.08333,"4.4 mi NW from Cape May Court House(Reeds Beach - South end), Cape May County New Jersey, United States (Bandit ID: REEDSSOU)",307533,745,-74.91667,"LEG FLAG, LEFT LEG ABOVE THE JOINT: 8=N BLACK ON LIGHT GREEN; FEDERAL METAL BAND, RIGHT LEG BELOW THE JOINT;",22803,0,2341,Rufa Red Knot,34,133268684,5/27/2017,27,5,2017,NNE,938.6,5010635,76,0:00:00,,1,CA,0,1/15/2018,1,2018,0,,6,,66,501,50.225,"Grande Ile, Archipel de Mingan, Cote-Nord",282028,635,-63.89167,at capture: LEG FLAG: 8=N BLACK ON LIGHT GREEN;,Mingan,7,2340,Red Knot,10,10700,8/25/2017,25,8,2017,Record with remarks; Species Mismatch; Unusual Migration; Bird Status VS Provisions; ,1,2.17,133268684,,14,N
,5340674,2,5,3,0,51,3,Species modified per data conversion of 03/06/2015,10,AR,2,69,8,,,,534,-53.75,"Nr Rio Grande, Argentina",232912,674,-67.75,LEG FLAG: T7H BLACK ON ORANGE;,10363,0,2341,Rufa Red Knot,0,131360184,12/6/2010,6,12,2010,N,7182.6,5010635,76,0:00:00,,1,CA,0,1/15/2018,1,2018,0,,6,,66,501,50.225,"Grande Ile, Archipel de Mingan, Cote-Nord",282028,635,-63.89167,at capture: LEG FLAG: LKE BLACK ON WHITE;,Mingan,7,2340,Red Knot,10,10700,8/25/2017,25,8,2017,Record with remarks; Species Mismatch; Unusual Migration; Bird Status VS Provisions; ,8,7.17,131360184,,14,N
,2700972,6,83,2,0,82,3,Applied ISC 23760_201810231239BM v4; M,10,US,0,19,3,CC,,NA,270,27.08333,"Kingsville(Padre Island National Seashore 15-20 mile marker), Kenedy County Texas, United States (Bandit ID: 225165)",292272,972,-97.41667,"LEG FLAG, LEFT LEG ABOVE THE JOINT: 051 WHITE ON DARK GREEN;",23760,0,2341,Rufa Red Knot,48,133267215,4/22/2016,22,4,2016,,0,2700972,83,0:00:00,,10,US,261,10/23/2018,10,2018,0,,3,,66,270,27.08333,Padre Island National Seashore 15-20 mile marker,292272,972,-97.41667,"at capture: LEG FLAG, LEFT LEG ABOVE THE JOINT: 051 WHITE ON DARK GREEN;at release: LEG FLAG, LEFT LEG ABOVE THE JOINT: 051 WHITE ON DARK GREEN;",Kingsville,7,2341,Rufa Red Knot,48,23760,10/18/2017,18,10,2017,Bad Age/Sex; ,2,3.33,133267215,,14,Y
,2910900,6,42,2,0,82,3,,10,US,0,19,2,CC,,,291,29.25,"Grand Isle(Elmers Island), Lafourche Parish Louisiana, United States (Bandit ID: 280800)",292276,900,-90.08333,"LEG FLAG, LEFT LEG ABOVE THE JOINT: 089 WHITE ON DARK GREEN, STYLE - 3VLR;",23760,0,2341,Rufa Red Knot,22,133267251,4/26/2016,26,4,2016,,0,2910900,42,17:02:00,,10,US,57,7/20/2017,7,2017,0,7/20/2017,2,,66,291,29.25,Elmers Island,292276,900,-90.08333,"at capture: LEG FLAG, LEFT LEG ABOVE THE JOINT: 089 WHITE ON DARK GREEN, STYLE - 3VLR;at release: DATA LOGGER/GEOLOCATOR (LEG ATTACHMENT); LEG FLAG, LEFT LEG ABOVE THE JOINT: 089 WHITE ON DARK GREEN, STYLE - 3VLR;",Grand Isle,7,2341,Rufa Red Knot,22,23760,4/27/2017,27,4,2017,,1,2.83,133267251,,14,Y
,2910900,6,42,2,0,82,3,,10,US,0,19,2,CC,,,291,29.25,"Grand Isle(Elmers Island), Lafourche Parish Louisiana, United States (Bandit ID: 280800)",292276,900,-90.08333,"LEG FLAG, LEFT LEG ABOVE THE JOINT: 096 WHITE ON DARK GREEN, STYLE - 3VLR;",23760,0,2341,Rufa Red Knot,22,133267257,4/26/2016,26,4,2016,,0,2910900,42,17:02:00,,10,US,57,7/20/2017,7,2017,0,7/20/2017,2,,66,291,29.25,Elmers Island,292276,900,-90.08333,"at capture: LEG FLAG, LEFT LEG ABOVE THE JOINT: 096 WHITE ON DARK GREEN, STYLE - 3VLR;at release: DATA LOGGER/GEOLOCATOR (LEG ATTACHMENT); LEG FLAG, LEFT LEG ABOVE THE JOINT: 096 WHITE ON DARK GREEN, STYLE - 3VLR;",Grand Isle,7,2341,Rufa Red Knot,22,23760,4/27/2017,27,4,2017,,1,2.83,133267257,,14,Y
,2910900,6,42,2,0,82,3,,10,US,0,19,2,CC,,,291,29.25,"Grand Isle(Elmers Island), Lafourche Parish Louisiana, United States (Bandit ID: 280800)",292276,900,-90.08333,"LEG FLAG, LEFT LEG ABOVE THE JOINT: A09 BLACK ON LIGHT GREEN, STYLE - 3VLR;",23760,0,2341,Rufa Red Knot,22,131200642,4/17/2014,17,4,2014,,0,2910900,42,16:50:00,,10,US,57,7/20/2017,7,2017,0,7/20/2017,2,,66,291,29.25,Elmers Island,292276,900,-90.08333,"at capture: LEG FLAG, LEFT LEG ABOVE THE JOINT: A09 WHITE ON DARK GREEN, STYLE - 3VLR;at release: DATA LOGGER/GEOLOCATOR (LEG ATTACHMENT); LEG FLAG, LEFT LEG ABOVE THE JOINT: A09 WHITE ON DARK GREEN, STYLE - 3VLR;",Grand Isle,7,2341,Rufa Red Knot,22,23760,4/24/2017,24,4,2017,,3,4.83,131200642,,14,Y
,2910900,6,42,2,0,82,3,,10,US,0,19,2,CC,,,291,29.25,"Grand Isle(Elmers Island), Lafourche Parish Louisiana, United States (Bandit ID: 280800)",292276,900,-90.08333,"LEG FLAG, LEFT LEG ABOVE THE JOINT: 070 WHITE ON DARK GREEN, STYLE - 3VLR; RADIO TRANSMITTER (GLUE TO SKIN OR FEATHERS);",23760,0,2341,Rufa Red Knot,22,133267233,4/25/2016,25,4,2016,,0,2910900,42,16:50:00,,10,US,57,7/20/2017,7,2017,0,7/20/2017,2,,66,291,29.25,Elmers Island,292276,900,-90.08333,"at capture: LEG FLAG, LEFT LEG ABOVE THE JOINT: 070 WHITE ON DARK GREEN, STYLE - 3VLR;at release: DATA LOGGER/GEOLOCATOR (LEG ATTACHMENT); LEG FLAG, LEFT LEG ABOVE THE JOINT: 070 WHITE ON DARK GREEN, STYLE - 3VLR;",Grand Isle,7,2341,Rufa Red Knot,22,23760,4/24/2017,24,4,2017,,1,2.83,133267233,,14,Y
