mfgID,motusTagID,tagDeployID,lab_day_site,runID,rcv_type,antBin,pulseCount,numHits,runLen,longRun,inspectFlag,keep
54,23586,11012,"Cape Romain NWR, SC (Bulls Island): 2017-05-04",11917155,SG,S,69,3,3,3,run length of 3,TRUE
56,23588,11014,Haldimand Raptor Res: 2017-05-18,21988681,SG,E,,14,14,7,median freqsd of run > 0.05 kHz,TRUE
56,23588,11014,Carden LOSH: 2017-05-18,10351564,SG,N,301,94,21,10,median freqsd of run > 0.05 kHz,TRUE
56,23588,11014,Carden LOSH: 2017-05-18,10351565,SG,N,301,94,15,5,median freqsd of run > 0.05 kHz,TRUE
57,23589,11015,Piskwamish: 2017-05-20,10851224,SG,E,198,28,28,27,excessive burstSlop,TRUE
57,23589,11015,Piskwamish: 2017-05-20,10851225,SG,N,264,54,29,15,excessive burstSlop,TRUE
57,23589,11015,Piskwamish: 2017-05-20,10851227,SG,N,264,54,25,9,excessive burstSlop,TRUE
57,23589,11015,SBWL1: 2017-12-30,56102643,SG,S,15752,86,4,1,< 3 consecutive bursts,FALSE
59,23591,11017,SKID: 2017-05-15,54647565,Lotek,E,,9,9,2,< 3 consecutive bursts,TRUE
59,23591,11017,SKID: 2017-05-15,54647568,Lotek,E,36,6,6,1,< 3 consecutive bursts,TRUE
59,23591,11017,SKID: 2017-05-15,54647570,Lotek,E,4,6,6,2,< 3 consecutive bursts,TRUE
59,23591,11017,NBNJ: 2017-05-16,55755706,Lotek,W,124,31,18,2,< 3 consecutive bursts,TRUE
59,23591,11017,NBNJ: 2017-05-16,55755708,Lotek,W,124,31,13,2,< 3 consecutive bursts,TRUE
59,23591,11017,NBNJ: 2017-05-16,55755709,Lotek,W,88,21,19,2,< 3 consecutive bursts,TRUE
59,23591,11017,NBNJ: 2017-05-16,55755712,Lotek,N,68,27,6,1,< 3 consecutive bursts,TRUE
59,23591,11017,NBNJ: 2017-05-16,55755711,Lotek,E,60,15,15,2,< 3 consecutive bursts,TRUE
59,23591,11017,NBNJ: 2017-05-16,55755713,Lotek,E,20,5,5,1,< 3 consecutive bursts,TRUE
59,23591,11017,NBNJ: 2017-05-16,55755714,Lotek,N,68,27,9,2,< 3 consecutive bursts,TRUE
59,23591,11017,RTNJ: 2017-05-16,46846389,Lotek,S,28,7,4,1,< 3 consecutive bursts,TRUE
59,23591,11017,SHNJ: 2017-05-16,45476940,Lotek,E,,28,28,2,< 3 consecutive bursts,TRUE
59,23591,11017,SHNJ: 2017-05-16,45476941,Lotek,N,,6,6,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-16,43317120,Lotek,S,24,5,5,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-17,43317123,Lotek,E,16,4,4,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-17,43317130,Lotek,S,,5,5,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-17,43317128,Lotek,W,,5,5,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-19,43317141,Lotek,E,28,9,9,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-19,43317142,Lotek,N,32,9,5,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-20,43317151,Lotek,S,28,16,4,1,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-20,43317156,Lotek,S,28,16,4,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-20,43317157,Lotek,W,48,8,8,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-20,43317158,Lotek,S,56,7,5,1,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-20,43317159,Lotek,N,24,8,6,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-20,43317170,Lotek,S,44,10,5,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-20,43317171,Lotek,W,4,4,4,1,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-20,43317172,Lotek,N,28,4,4,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-20,43317173,Lotek,S,136,21,5,1,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-20,43317174,Lotek,W,76,12,5,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-20,43317176,Lotek,S,136,21,7,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-20,43317178,Lotek,W,76,12,5,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-20,43317182,Lotek,E,16,6,4,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-20,43317184,Lotek,W,32,9,4,1,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-20,43317188,Lotek,N,24,6,4,1,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-20,43317186,Lotek,S,24,5,5,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-21,43317193,Lotek,S,48,17,10,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-21,43317194,Lotek,W,28,12,7,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-21,43317195,Lotek,N,16,6,4,1,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-21,43317198,Lotek,S,48,17,5,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-21,43317197,Lotek,W,28,12,5,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-21,43317204,Lotek,S,20,12,4,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-21,43317207,Lotek,S,60,4,4,1,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-21,43317209,Lotek,S,72,19,13,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-21,43317210,Lotek,W,52,13,13,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-21,43317216,Lotek,W,8,6,4,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-21,43317218,Lotek,S,8,4,4,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-23,43317234,Lotek,S,16,10,5,1,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-23,43317237,Lotek,S,16,10,5,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-23,43317239,Lotek,S,40,6,6,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-23,43317242,Lotek,W,28,7,5,1,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-23,43317244,Lotek,S,28,6,4,1,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-23,43317247,Lotek,N,,4,4,1,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-23,43317248,Lotek,E,,5,5,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-23,43317246,Lotek,S,,4,4,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-23,43317250,Lotek,W,40,10,10,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-23,43317251,Lotek,S,28,7,7,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-23,43317253,Lotek,E,20,11,5,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-23,43317255,Lotek,E,72,10,4,1,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-23,43317257,Lotek,W,24,6,4,1,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-23,43317262,Lotek,W,24,5,5,1,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-24,43317266,Lotek,S,,5,5,1,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-24,43317267,Lotek,W,,5,5,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-24,43317269,Lotek,W,44,5,5,1,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-24,43317276,Lotek,W,,6,6,1,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-24,43317278,Lotek,S,,7,4,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-24,43317287,Lotek,S,,4,4,1,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-24,43317286,Lotek,W,,7,7,2,< 3 consecutive bursts,TRUE
59,23591,11017,JBNY: 2017-05-24,43317288,Lotek,E,,4,4,1,< 3 consecutive bursts,TRUE
